pais_bloco,fk_pais,fk_calendario,populacao,id_energia
LTU,27,12,3457179.0,488
LUX,28,12,365525.0,489
LVA,26,12,2531080.0,490
MAR,30,12,20746765.0,491
MEX,29,12,70656783.0,492
NLD,31,12,14312690.0,493
NOR,33,12,4114787.0,494
NZL,32,12,3156100.0,495
POL,34,12,36230481.0,496
PRT,35,12,9911771.0,497
SGP,36,12,2646466.0,498
SVK,37,12,5055099.0,499
SVN,38,12,1910334.0,500
SWE,41,12,8325263.0,501
THA,43,12,47700340.0,502
USA,46,12,231664000.0,503
ZAF,39,12,31022417.0,504
AUS,2,13,15393472.0,505
AUT,3,13,7561910.0,506
BEL,4,13,9855520.0,507
BRA,5,13,130977370.0,508
CAN,6,13,25366451.0,509
CHE,42,13,6418773.0,510
CHL,7,13,11976513.0,511
CHN,8,13,1023310000.0,512
COL,9,13,28042329.0,513
DEU,15,13,78128282.0,514
DNK,11,13,5114297.0,515
ESP,40,13,38171525.0,516
EST,12,13,1508745.0,517
FIN,13,13,4855787.0,518
FRA,14,13,55992656.0,519
GBR,45,13,56332848.0,520
GRC,16,13,9846627.0,521
HUN,17,13,10689463.0,522
IDN,20,13,158790611.0,523
IND,19,13,745826546.0,524
IRL,21,13,3510600.0,525
ISL,18,13,236977.0,526
ISR,22,13,4105000.0,527
ITA,23,13,56564074.0,528
JPN,24,13,119307000.0,529
LTU,27,13,3485192.0,530
LUX,28,13,365622.0,531
LVA,26,13,2546011.0,532
MAR,30,13,21287381.0,533
MEX,29,13,72080310.0,534
NLD,31,13,14367070.0,535
NOR,33,13,4128432.0,536
NZL,32,13,3199300.0,537
POL,34,13,36571808.0,538
PRT,35,13,9957865.0,539
SGP,36,13,2681061.0,540
SVK,37,13,5091971.0,541
SVN,38,13,1922321.0,542
SWE,41,13,8329033.0,543
THA,43,13,48670565.0,544
USA,46,13,233792000.0,545
ZAF,39,13,31865176.0,546
AUS,2,14,15579391.0,547
AUT,3,14,7561434.0,548
BEL,4,14,9855372.0,549
BRA,5,14,133888775.0,550
CAN,6,14,25607053.0,551
CHE,42,14,6441865.0,552
CHL,7,14,12147758.0,553
CHN,8,14,1036825000.0,554
COL,9,14,28689032.0,555
DEU,15,14,77858685.0,556
DNK,11,14,5111619.0,557
ESP,40,14,38330364.0,558
EST,12,14,1518617.0,559
FIN,13,14,4881803.0,560
FRA,14,14,56275701.0,561
GBR,45,14,56422072.0,562
GRC,16,14,9895801.0,563
HUN,17,14,10668095.0,564
IDN,20,14,162331962.0,565
IND,19,14,762895156.0,566
IRL,21,14,3532423.0,567
ISL,18,14,239511.0,568
ISR,22,14,4159000.0,569
ITA,23,14,56576718.0,570
JPN,24,14,120083000.0,571
